scenario,run_index,shots,noise_level,eve_attack_probability,abs_chsh,qber,key_subset_size,bell_subset_size,final_key_length,security_status,key_status,noise_applied_count,eve_applied_count,session_id
baseline,1,10000,0.0,0.0,2.8411,0.0,2239,4463,256,secure,generated,0,0,1cad1e5a-fbae-4921-bb13-351140d76c79
baseline,2,10000,0.0,0.0,2.8173,0.0,2210,4426,256,secure,generated,0,0,af718a41-1a9d-412a-a44c-76ddafcd92de
baseline,3,10000,0.0,0.0,2.907,0.0,2296,4456,256,secure,generated,0,0,e834196f-ec00-4685-9ccf-826812cf645f
baseline,4,10000,0.0,0.0,2.7263,0.0,2224,4469,256,secure,generated,0,0,89a1f3ee-c6fd-47c9-ab6b-a656ef47789e
baseline,5,10000,0.0,0.0,2.8142,0.0,2192,4479,256,secure,generated,0,0,013ac407-0aae-47cd-bb77-bfdec7d51f2d
baseline,6,10000,0.0,0.0,2.8252,0.0,2225,4419,256,secure,generated,0,0,d2737b9b-c3f9-4334-9c3e-b03adf3e2434
baseline,7,10000,0.0,0.0,2.8346,0.0,2269,4397,256,secure,generated,0,0,b79293a1-ef25-4bf5-99ee-64de43d5fbbb
baseline,8,10000,0.0,0.0,2.8682,0.0,2225,4432,256,secure,generated,0,0,141233ea-e688-43a7-9a69-f96887e6c507
baseline,9,10000,0.0,0.0,2.8571,0.0,2242,4389,256,secure,generated,0,0,991ce762-b575-40d9-aeb6-badb5cda25f5
baseline,10,10000,0.0,0.0,2.7733,0.0,2279,4399,256,secure,generated,0,0,da8be7a1-3678-4291-9f5d-4bcffe4d2fd9
noise_0.00,1,10000,0.0,0.0,2.8173,0.0,2249,4460,256,secure,generated,0,0,24440175-32a2-48ea-bf72-d71a39042b7a
noise_0.00,2,10000,0.0,0.0,2.8212,0.0,2232,4409,256,secure,generated,0,0,e48b2490-c117-4b50-9838-0682c1323194
noise_0.00,3,10000,0.0,0.0,2.8518,0.0,2220,4429,256,secure,generated,0,0,927df52a-ef3d-49c9-83ca-da6c60e94e9e
noise_0.00,4,10000,0.0,0.0,2.7533,0.0,2177,4542,256,secure,generated,0,0,85ceaa84-8b13-4279-9054-26d32f5f0fc9
noise_0.00,5,10000,0.0,0.0,2.8828,0.0,2219,4415,256,secure,generated,0,0,2fe72a65-bf26-422f-8661-3bcd93490fdc
noise_0.00,6,10000,0.0,0.0,2.8901,0.0,2248,4374,256,secure,generated,0,0,19b524a4-494e-4415-afc2-4e102378d279
noise_0.00,7,10000,0.0,0.0,2.7891,0.0,2190,4512,256,secure,generated,0,0,ee413f95-b358-47fa-95bd-05693021ea80
noise_0.00,8,10000,0.0,0.0,2.8174,0.0,2232,4536,256,secure,generated,0,0,5511f1df-8ef9-4481-8531-ceeb2957ce77
noise_0.00,9,10000,0.0,0.0,2.814,0.0,2180,4468,256,secure,generated,0,0,18e93dc1-7ec7-4e46-b28a-f005f4815671
noise_0.00,10,10000,0.0,0.0,2.8348,0.0,2283,4341,256,secure,generated,0,0,f750cdd6-1cb9-47fb-98f9-0bcde924821f
noise_0.02,1,10000,0.02,0.0,2.7423,0.0218,2158,4478,256,secure,generated,219,0,5eaa243f-b154-4f82-8164-501ff8a2c7b4
noise_0.02,2,10000,0.02,0.0,2.697,0.0207,2126,4525,256,secure,generated,216,0,ade489e2-2bd2-4cd5-9c88-0999462f03ec
noise_0.02,3,10000,0.02,0.0,2.7618,0.0158,2280,4475,256,secure,generated,164,0,5e76defe-186d-4da3-95c4-d81c57941043
noise_0.02,4,10000,0.02,0.0,2.7114,0.018,2222,4340,256,secure,generated,183,0,d4bcda36-72aa-42b6-ae90-a644127ae1f4
noise_0.02,5,10000,0.02,0.0,2.6178,0.0154,2212,4420,256,secure,generated,207,0,fefe0662-e2f8-4ec3-a315-362d58b2a95c
noise_0.02,6,10000,0.02,0.0,2.7029,0.0214,2242,4415,256,secure,generated,198,0,e1a81e89-5f50-4aa6-aa81-0a12f1ef0a75
noise_0.02,7,10000,0.02,0.0,2.7716,0.0178,2191,4481,256,secure,generated,186,0,ed70a357-6161-47f1-8f3e-f22f6bfce1db
noise_0.02,8,10000,0.02,0.0,2.7315,0.0192,2240,4365,256,secure,generated,214,0,354a434d-e2f4-4817-8a93-3f63c1142e7c
noise_0.02,9,10000,0.02,0.0,2.7182,0.0173,2251,4352,256,secure,generated,203,0,506d75c4-d9cb-4d0f-86e4-8b01180f7866
noise_0.02,10,10000,0.02,0.0,2.6301,0.0183,2181,4468,256,secure,generated,198,0,f19863ee-7753-4b40-964c-a0c7673d77ce
noise_0.05,1,10000,0.05,0.0,2.5251,0.0376,2180,4418,256,secure,generated,491,0,538df4e2-d2c1-4081-9e54-36d80ce35ab1
noise_0.05,2,10000,0.05,0.0,2.5769,0.0427,2246,4409,256,secure,generated,484,0,91edc866-c1ff-4a5c-bdc7-23d8b600a60f
noise_0.05,3,10000,0.05,0.0,2.4884,0.0442,2265,4369,256,secure,generated,502,0,59f6e0b6-58fb-480a-9705-b7ad5a0d280d
noise_0.05,4,10000,0.05,0.0,2.5816,0.0525,2247,4460,256,secure,generated,496,0,9d2f9fdc-6165-4c0c-8ed1-1a7ff99b699a
noise_0.05,5,10000,0.05,0.0,2.6297,0.0519,2214,4501,256,secure,generated,501,0,dad74b20-7e6e-42e3-9d3f-7063ce0ee91b
noise_0.05,6,10000,0.05,0.0,2.4416,0.0486,2286,4348,256,secure,generated,518,0,e993e271-d7cd-44b6-91e5-a05c2c8be008
noise_0.05,7,10000,0.05,0.0,2.5583,0.0429,2190,4458,256,secure,generated,491,0,27596bc0-ff84-4db4-9a64-a9205666c9a7
noise_0.05,8,10000,0.05,0.0,2.5223,0.0562,2208,4392,256,secure,generated,516,0,5ec92335-a641-404c-93cf-4acf2cb6b59b
noise_0.05,9,10000,0.05,0.0,2.5663,0.0439,2164,4420,256,secure,generated,538,0,d29048d2-0b3e-41ec-b443-0581f0638a28
noise_0.05,10,10000,0.05,0.0,2.5635,0.0471,2274,4342,256,secure,generated,483,0,e9caaf46-fa51-4cda-924b-4d3827901d39
noise_0.10,1,10000,0.1,0.0,2.3094,0.1049,2231,4357,0,degraded,discarded_degraded,980,0,8cf8c0d1-d59a-4344-93cc-43a6140fee8a
noise_0.10,2,10000,0.1,0.0,2.1972,0.115,2261,4467,0,degraded,discarded_degraded,1043,0,e5804642-6029-4b24-9fc2-1321407fb4e1
noise_0.10,3,10000,0.1,0.0,2.2784,0.0981,2192,4399,0,degraded,discarded_degraded,958,0,ab343e41-dadf-448d-ab65-ab19235c2a60
noise_0.10,4,10000,0.1,0.0,2.2761,0.0975,2225,4479,0,degraded,discarded_degraded,1001,0,b2708031-3cbd-4964-aa5f-7816876d595b
noise_0.10,5,10000,0.1,0.0,2.2251,0.1001,2277,4405,0,degraded,discarded_degraded,992,0,1de0fffd-b5da-4af6-94a6-307babab59a3
noise_0.10,6,10000,0.1,0.0,2.3769,0.1033,2265,4382,0,degraded,discarded_degraded,955,0,ef3f6da7-0bd5-4723-9a1c-ae5ef450ecde
noise_0.10,7,10000,0.1,0.0,2.2185,0.1101,2235,4396,0,degraded,discarded_degraded,1060,0,7221e4ec-eaef-48b3-9a34-ba918fecb43e
noise_0.10,8,10000,0.1,0.0,2.2417,0.1063,2145,4503,0,degraded,discarded_degraded,984,0,850c4c19-0163-4dad-a38e-0eac0b608dbd
noise_0.10,9,10000,0.1,0.0,2.2231,0.0903,2293,4431,0,degraded,discarded_degraded,1016,0,032d6b96-7c99-4381-9ba0-127e81cf294e
noise_0.10,10,10000,0.1,0.0,2.188,0.1019,2277,4370,0,degraded,discarded_degraded,1009,0,9334ac58-90d3-43cc-9c7d-608b61c54b6c
noise_0.20,1,10000,0.2,0.0,1.6756,0.2027,2215,4478,0,insecure,discarded,2014,0,1202a079-9a02-405c-8a22-d82e8746f679
noise_0.20,2,10000,0.2,0.0,1.8014,0.1972,2191,4508,0,insecure,discarded,2004,0,e95d95d3-626f-4c36-8682-90c62ab09f10
noise_0.20,3,10000,0.2,0.0,1.7103,0.1956,2229,4432,0,insecure,discarded,2002,0,39128438-b420-4de3-9cfc-0457c1aecb49
noise_0.20,4,10000,0.2,0.0,1.6742,0.1916,2229,4427,0,insecure,discarded,2022,0,6a965846-2306-43da-b3da-346eb7a3421c
noise_0.20,5,10000,0.2,0.0,1.6841,0.1948,2177,4559,0,insecure,discarded,1960,0,ddf937c0-bb17-449f-b0ca-839360073eff
noise_0.20,6,10000,0.2,0.0,1.6777,0.1888,2235,4437,0,insecure,discarded,2011,0,abaff788-9556-4bfa-a0db-14f2cbaa5631
noise_0.20,7,10000,0.2,0.0,1.596,0.1921,2223,4426,0,insecure,discarded,2016,0,62af7e51-08b2-4138-90de-7cd70ad2fab0
noise_0.20,8,10000,0.2,0.0,1.7712,0.2022,2171,4425,0,insecure,discarded,2049,0,eca2cadb-f36f-4df4-b2e9-377e0654b9a2
noise_0.20,9,10000,0.2,0.0,1.6518,0.1924,2230,4456,0,insecure,discarded,1938,0,74fe73e9-a333-4ee3-80a2-70890add4752
noise_0.20,10,10000,0.2,0.0,1.7533,0.1944,2279,4361,0,insecure,discarded,2010,0,9f0012d9-229f-459a-b822-fe3134835de1
eve_0.00,1,10000,0.0,0.0,2.8839,0.0,2177,4526,256,secure,generated,0,0,61aac1f9-554d-4648-8134-4fe12a9aee96
eve_0.00,2,10000,0.0,0.0,2.7458,0.0,2269,4377,256,secure,generated,0,0,1423d347-bb8f-4a0b-862c-59eebe475a83
eve_0.00,3,10000,0.0,0.0,2.8366,0.0,2163,4469,256,secure,generated,0,0,a09d6601-eebc-4342-b59d-55a1446f13db
eve_0.00,4,10000,0.0,0.0,2.8265,0.0,2180,4500,256,secure,generated,0,0,4ad39173-72ba-4542-9df2-3eef88a8667b
eve_0.00,5,10000,0.0,0.0,2.8578,0.0,2248,4391,256,secure,generated,0,0,03bfdeab-92aa-4759-80bc-b4fb32e41637
eve_0.00,6,10000,0.0,0.0,2.8319,0.0,2228,4516,256,secure,generated,0,0,f79aa6e5-abb0-4ad7-9d6d-ec4c379413fb
eve_0.00,7,10000,0.0,0.0,2.8284,0.0,2266,4422,256,secure,generated,0,0,4f319ca8-b106-41fa-a253-3ff2ae3be15b
eve_0.00,8,10000,0.0,0.0,2.8121,0.0,2200,4494,256,secure,generated,0,0,3c7c61b8-8ebd-4159-9612-70e13bc2bc21
eve_0.00,9,10000,0.0,0.0,2.8117,0.0,2238,4441,256,secure,generated,0,0,1a54a001-3bc0-4b7e-85a9-f67e26ae5716
eve_0.00,10,10000,0.0,0.0,2.8704,0.0,2172,4484,256,secure,generated,0,0,40088b56-09e5-4fc5-a4e6-123d6b2f1fa7
eve_0.02,1,10000,0.0,0.02,2.7992,0.0093,2148,4454,256,secure,generated,0,194,1010a3a0-ec14-46ec-802a-66f8fe98d369
eve_0.02,2,10000,0.0,0.02,2.826,0.012,2172,4450,256,secure,generated,0,203,a477bcdf-8a4c-4d30-aff9-c02ba9151fc1
eve_0.02,3,10000,0.0,0.02,2.7583,0.0109,2193,4456,256,secure,generated,0,189,61176fa2-d904-42e0-b409-56777cdd8967
eve_0.02,4,10000,0.0,0.02,2.7374,0.012,2244,4422,256,secure,generated,0,189,0baa7b15-414e-4976-b3ad-aa9b0e3434f2
eve_0.02,5,10000,0.0,0.02,2.8124,0.0103,2231,4446,256,secure,generated,0,212,589ad4a3-d26c-411e-b17c-84bcf0bc3396
eve_0.02,6,10000,0.0,0.02,2.7719,0.0066,2270,4393,256,secure,generated,0,183,cc7575fc-3785-44a1-9fc9-07978680ede5
eve_0.02,7,10000,0.0,0.02,2.7031,0.0073,2205,4401,256,secure,generated,0,185,695c7ec4-cb8b-4592-88c0-c089b3c2387c
eve_0.02,8,10000,0.0,0.02,2.7786,0.0108,2227,4491,256,secure,generated,0,204,94417b2f-49a6-4fda-8da4-9e492c2d6c82
eve_0.02,9,10000,0.0,0.02,2.7805,0.0085,2244,4471,256,secure,generated,0,187,4ea2a94a-0b71-428a-b493-115de77bb686
eve_0.02,10,10000,0.0,0.02,2.6894,0.0074,2174,4542,256,secure,generated,0,212,1f41e12e-ac6f-4752-87a2-071ceab7b9f1
eve_0.05,1,10000,0.0,0.05,2.6435,0.0212,2262,4470,256,secure,generated,0,493,b70bda90-f7e2-49a3-88c4-6853f0a255ed
eve_0.05,2,10000,0.0,0.05,2.6248,0.0259,2204,4444,256,secure,generated,0,503,0b2596cc-c062-4ffd-bf14-151da3cd93c6
eve_0.05,3,10000,0.0,0.05,2.7544,0.0228,2190,4466,256,secure,generated,0,514,1a56199b-3c08-4ffc-b7a2-5a3c2dc53db1
eve_0.05,4,10000,0.0,0.05,2.6837,0.0198,2175,4507,256,secure,generated,0,452,77b5fe92-a04e-45af-bf84-87aae30d323c
eve_0.05,5,10000,0.0,0.05,2.6558,0.0204,2201,4406,256,secure,generated,0,474,c3995cf2-5663-4dc8-9420-48e73d28110b
eve_0.05,6,10000,0.0,0.05,2.6542,0.0264,2235,4473,256,secure,generated,0,504,1c21cabe-b28c-4fbd-a50a-61e029a497a7
eve_0.05,7,10000,0.0,0.05,2.7805,0.0277,2272,4417,256,secure,generated,0,538,3eef403c-7799-435a-9ae7-60db30d5c1a3
eve_0.05,8,10000,0.0,0.05,2.6771,0.0233,2229,4434,256,secure,generated,0,461,c95be4a5-4065-47e6-886c-1c9faecac4a6
eve_0.05,9,10000,0.0,0.05,2.6727,0.0274,2260,4400,256,secure,generated,0,524,42a35edf-caff-48a1-89b5-ca7f4cd453fd
eve_0.05,10,10000,0.0,0.05,2.5922,0.0188,2235,4422,256,secure,generated,0,545,291894fc-0b69-443a-a1fb-4326337f71b2
eve_0.10,1,10000,0.0,0.1,2.5147,0.0527,2164,4426,256,secure,generated,0,1044,a8415dc1-32e3-443e-b01d-a9cf7647e006
eve_0.10,2,10000,0.0,0.1,2.605,0.0474,2213,4468,256,secure,generated,0,947,c1633e48-df5e-4877-a0e3-1beb22f0bc41
eve_0.10,3,10000,0.0,0.1,2.6065,0.0468,2309,4381,256,secure,generated,0,1000,dc728f37-5180-4ff2-9e8f-029b4074c6d0
eve_0.10,4,10000,0.0,0.1,2.5854,0.0605,2215,4479,256,secure,generated,0,1068,88edfa96-085e-4fb4-a96e-54e575d10a08
eve_0.10,5,10000,0.0,0.1,2.4842,0.0514,2278,4323,256,secure,generated,0,1004,b6980f0f-3651-4423-b1db-ebaf83e4ab1a
eve_0.10,6,10000,0.0,0.1,2.5622,0.0524,2196,4435,256,secure,generated,0,993,0909d257-aeab-44c4-8803-66862b84ce59
eve_0.10,7,10000,0.0,0.1,2.4832,0.052,2248,4389,256,secure,generated,0,1014,613b7f77-5662-4098-9b4f-26b48ff6cf4b
eve_0.10,8,10000,0.0,0.1,2.558,0.0473,2198,4520,256,secure,generated,0,954,eb236946-8f95-4839-a487-f549d9a60a1e
eve_0.10,9,10000,0.0,0.1,2.5654,0.0575,2192,4449,256,secure,generated,0,1054,a8d1ba79-46c4-459f-9bb0-6dd77221e1a0
eve_0.10,10,10000,0.0,0.1,2.5936,0.0457,2234,4470,256,secure,generated,0,995,7194e367-01e9-4593-a9e1-89f2e808cf91
eve_0.20,1,10000,0.0,0.2,2.2663,0.1042,2227,4433,0,degraded,discarded_degraded,0,2049,0c0a6bce-bb7f-417a-9030-e7280293c100
eve_0.20,2,10000,0.0,0.2,2.2585,0.0979,2287,4398,0,degraded,discarded_degraded,0,1964,855bfa94-38a5-46a1-b7f6-4d434a541861
eve_0.20,3,10000,0.0,0.2,2.2695,0.1022,2163,4590,0,degraded,discarded_degraded,0,1990,e7982173-168e-42d9-adc6-64dc4175384a
eve_0.20,4,10000,0.0,0.2,2.232,0.0924,2218,4527,0,degraded,discarded_degraded,0,1924,2b232e2a-20d3-4c5f-a87b-ae5bdd8e6d8f
eve_0.20,5,10000,0.0,0.2,2.2327,0.1028,2179,4502,0,degraded,discarded_degraded,0,2011,eec3a9b6-a408-4088-af0c-780f1a556d02
eve_0.20,6,10000,0.0,0.2,2.2972,0.111,2316,4415,0,degraded,discarded_degraded,0,2015,f09482b7-67e0-4133-b446-e45d15369ea6
eve_0.20,7,10000,0.0,0.2,2.2908,0.0974,2259,4530,0,degraded,discarded_degraded,0,2025,a9ee2b33-8630-42b2-b125-186e1d61cede
eve_0.20,8,10000,0.0,0.2,2.3049,0.0943,2270,4371,0,degraded,discarded_degraded,0,2052,8d470445-f9aa-41e7-b300-6c0a96c7446b
eve_0.20,9,10000,0.0,0.2,2.2853,0.1044,2271,4388,0,degraded,discarded_degraded,0,1954,3275dc7a-e678-4157-9a07-498965ed0b9d
eve_0.20,10,10000,0.0,0.2,2.2986,0.0987,2240,4444,0,degraded,discarded_degraded,0,1914,b8e0fe06-c81a-4097-9d03-eabe50b6a91d
combined_n0.02_e0.02,1,10000,0.02,0.02,2.7013,0.025,2202,4437,256,secure,generated,196,182,e9cfae29-e9e5-4a92-83e0-6b3a4adea169
combined_n0.02_e0.02,2,10000,0.02,0.02,2.6378,0.026,2155,4435,256,secure,generated,193,211,1e776fc2-969f-4737-bbbc-3b8958dfd615
combined_n0.02_e0.02,3,10000,0.02,0.02,2.6922,0.0283,2262,4428,256,secure,generated,207,214,b20044b3-61d0-44d3-bd1a-f7745eac4334
combined_n0.02_e0.02,4,10000,0.02,0.02,2.6991,0.0317,2238,4411,256,secure,generated,210,186,50df4d04-4d62-47a1-a2c5-86d9f498de27
combined_n0.02_e0.02,5,10000,0.02,0.02,2.7078,0.0302,2288,4346,256,secure,generated,214,218,3a3dd5d9-8b37-4924-8b0a-d416a35d54fb
combined_n0.02_e0.02,6,10000,0.02,0.02,2.6083,0.0325,2243,4419,256,secure,generated,223,218,deb33ee5-f128-4297-8724-9a4aff68ef91
combined_n0.02_e0.02,7,10000,0.02,0.02,2.6857,0.0255,2199,4456,256,secure,generated,205,186,022a17f6-fdc7-4463-a9af-9b0f1fb0e56f
combined_n0.02_e0.02,8,10000,0.02,0.02,2.6678,0.0328,2166,4424,256,secure,generated,225,217,e7a072dd-b902-4d72-93ed-883c1b6e3967
combined_n0.02_e0.02,9,10000,0.02,0.02,2.676,0.0278,2231,4388,256,secure,generated,192,205,16941c3c-7861-4c27-8a54-ef25f74d6fb7
combined_n0.02_e0.02,10,10000,0.02,0.02,2.6728,0.0261,2302,4358,256,secure,generated,194,170,a6becbe1-b1b6-4214-a697-7c16bb543940
combined_n0.05_e0.05,1,10000,0.05,0.05,2.3844,0.0792,2222,4480,0,degraded,discarded_degraded,497,507,8f4e1ae2-d397-4dde-abfd-c2c2e4af880e
combined_n0.05_e0.05,2,10000,0.05,0.05,2.4095,0.0676,2219,4437,256,secure,generated,483,545,0b6a5099-25aa-4063-88df-c6870c5e880a
combined_n0.05_e0.05,3,10000,0.05,0.05,2.3783,0.0731,2270,4419,0,degraded,discarded_degraded,491,500,30767a20-be09-4f6e-8f48-791973da64e1
combined_n0.05_e0.05,4,10000,0.05,0.05,2.4271,0.0854,2214,4450,0,degraded,discarded_degraded,499,508,94309780-b5af-4f0f-bbe8-3d81635844dd
combined_n0.05_e0.05,5,10000,0.05,0.05,2.3993,0.0686,2201,4406,0,degraded,discarded_degraded,515,472,5f0b6038-aca0-4c2b-9c22-ba23aaafc7b8
combined_n0.05_e0.05,6,10000,0.05,0.05,2.3932,0.0782,2199,4428,0,degraded,discarded_degraded,553,511,fc66a3b4-2708-4450-9c1b-2956359323d7
combined_n0.05_e0.05,7,10000,0.05,0.05,2.3519,0.0705,2183,4456,0,degraded,discarded_degraded,509,499,3638960b-bab3-477b-9b34-426cc5f51835
combined_n0.05_e0.05,8,10000,0.05,0.05,2.4383,0.0731,2202,4451,256,secure,generated,506,515,5454b6bb-796a-479b-a065-bb3a9cf935c2
combined_n0.05_e0.05,9,10000,0.05,0.05,2.3447,0.0714,2213,4440,0,degraded,discarded_degraded,478,523,90170eeb-1b56-40cf-bb6d-e3470c42910d
combined_n0.05_e0.05,10,10000,0.05,0.05,2.4526,0.076,2236,4415,256,secure,generated,487,514,0ec3f3b2-8db4-4047-8415-917f79c07551
combined_n0.10_e0.10,1,10000,0.1,0.1,2.0572,0.1306,2197,4455,0,degraded,discarded_degraded,973,1010,8b9f94d4-6a7d-4c58-b8fc-6cbbca16c859
combined_n0.10_e0.10,2,10000,0.1,0.1,2.0041,0.1382,2243,4461,0,degraded,discarded_degraded,963,995,37f9f278-8dec-4285-9282-f02562472842
combined_n0.10_e0.10,3,10000,0.1,0.1,1.9797,0.1441,2262,4440,0,insecure,discarded,1036,972,b50b7a22-e231-4be5-8831-ccd5e8e762c2
combined_n0.10_e0.10,4,10000,0.1,0.1,1.9773,0.1351,2184,4535,0,insecure,discarded,954,987,8c432bb5-5257-402b-9ccc-6dafc0dfcab8
combined_n0.10_e0.10,5,10000,0.1,0.1,2.0368,0.1353,2224,4439,0,degraded,discarded_degraded,973,1037,2d641d5b-0583-46d3-85ae-dadbc6bc81a9
combined_n0.10_e0.10,6,10000,0.1,0.1,2.1082,0.151,2271,4475,0,insecure,discarded,1016,1009,2e0d67d2-38f9-4943-adff-49155253c5fb
combined_n0.10_e0.10,7,10000,0.1,0.1,2.0818,0.1497,2211,4487,0,degraded,discarded_degraded,1001,1023,224e666c-1b03-4572-a71d-f509877355a0
combined_n0.10_e0.10,8,10000,0.1,0.1,2.0206,0.1395,2186,4498,0,degraded,discarded_degraded,1009,1004,02277528-6bbd-472f-b18b-0b33f12b95dd
combined_n0.10_e0.10,9,10000,0.1,0.1,1.975,0.1443,2197,4514,0,insecure,discarded,1079,949,211438cc-e4b1-4a25-858f-5dbeb2752059
combined_n0.10_e0.10,10,10000,0.1,0.1,1.9491,0.132,2167,4437,0,insecure,discarded,978,1046,3b37eb28-346d-44bc-b628-5335b30a734f
