scenario,runs,shots,noise_level,eve_attack_probability,abs_chsh_mean,abs_chsh_stddev,qber_mean,qber_stddev,key_subset_size_mean,security_status_distribution,key_status_distribution
baseline,10,10000,0.0,0.0,2.8208,0.05230162521375414,0.0,0.0,1110.6,{'secure': 10},{'generated': 10}
noise_0.00,10,10000,0.0,0.0,2.84954,0.04700369252634426,0.0,0.0,1111.9,{'secure': 10},{'generated': 10}
noise_0.02,10,10000,0.02,0.0,2.7107099999999997,0.039427386139304,0.019360000000000002,0.0034157153147051215,1110.7,{'secure': 10},{'generated': 10}
noise_0.05,10,10000,0.05,0.0,2.541620000000001,0.04975236007802378,0.04935,0.006580822305929725,1102.9,{'secure': 10},{'generated': 10}
noise_0.10,10,10000,0.1,0.0,2.22213,0.041972240826527236,0.09928000000000001,0.007286029249338919,1124.6,{'degraded': 10},{'discarded_degraded': 10}
noise_0.20,10,10000,0.2,0.0,1.70264,0.043682699346792,0.19714000000000004,0.00899990123402597,1105.9,{'insecure': 10},{'discarded': 10}
eve_0.00,10,10000,0.0,0.0,2.82012,0.0416559132790425,0.0,0.0,1110.2,{'secure': 10},{'generated': 10}
eve_0.02,10,10000,0.0,0.02,2.77175,0.06369193652086412,0.009289999999999998,0.002601473941185394,1111.5,{'secure': 10},{'generated': 10}
eve_0.05,10,10000,0.0,0.05,2.69212,0.052698699119512304,0.0261,0.0033416562759605705,1113.9,{'secure': 10},{'generated': 10}
eve_0.10,10,10000,0.0,0.1,2.5332300000000005,0.06543149173839093,0.05197,0.005079818456948591,1118.5,{'secure': 10},{'generated': 10}
eve_0.20,10,10000,0.0,0.2,2.25049,0.030378810231987595,0.10590999999999999,0.005322165390557158,1105.5,{'degraded': 10},{'discarded_degraded': 10}
combined_n0.02_e0.02,10,10000,0.02,0.02,2.6485499999999997,0.04367354271562278,0.030359999999999998,0.00798876989557494,1110.4,{'secure': 10},{'generated': 10}
combined_n0.05_e0.05,10,10000,0.05,0.05,2.42185,0.043123034576790904,0.07176,0.009905464260811918,1118.5,"{'degraded': 3, 'secure': 7}","{'discarded_degraded': 3, 'generated': 7}"
combined_n0.10_e0.10,10,10000,0.1,0.1,2.0149099999999995,0.028083187932363474,0.13960999999999998,0.012184548503010779,1096.5,"{'degraded': 5, 'insecure': 5}","{'discarded': 5, 'discarded_degraded': 5}"
