scenario_name,scenario_group,repeat_id,shots,session_id,basis_model,noise_enabled,noise_level,noise_type,eve_enabled,eve_attack_probability,attack_type,enable_link_loss,source_alice_distance_km,source_bob_distance_km,attenuation_db_per_km,total_quantum_loss_db,transmittance,link_status,lost_pair_count,min_sifted_key_length,chsh,abs_chsh,qber,security_status,key_status,key_reason,key_subset_size,bell_subset_size,discarded_subset_size,raw_key_length,sifted_key_length,final_key_length,noise_applied_count,eve_applied_count,timestamp,error_message
baseline,baseline,1,10000,6641dd09-86b0-4f89-98b5-cd5984b18f23,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.84,2.84,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2182,4492,3326,2182,2182,256,0,0,2026-07-15T21:12:22.958372+00:00,
baseline,baseline,2,10000,5872e897-63e6-4918-b501-e4d48c030e5d,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.8624,2.8624,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2195,4476,3329,2195,2195,256,0,0,2026-07-15T21:12:23.853665+00:00,
baseline,baseline,3,10000,b0b1aa00-74f1-480c-8f2d-3c8a316efe91,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.869,2.869,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2252,4397,3351,2252,2252,256,0,0,2026-07-15T21:12:24.714564+00:00,
baseline,baseline,4,10000,8688cc77-76a6-4f51-960d-1fc2e92bdc01,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.817,2.817,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2284,4428,3288,2284,2284,256,0,0,2026-07-15T21:12:25.584747+00:00,
baseline,baseline,5,10000,73f43971-7d81-454b-87e9-bdf212fac8ca,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.8246,2.8246,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2263,4375,3362,2263,2263,256,0,0,2026-07-15T21:12:26.470187+00:00,
baseline,baseline,6,10000,09ad7de3-7690-4cfb-8b86-77e17962759c,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.8256,2.8256,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2180,4449,3371,2180,2180,256,0,0,2026-07-15T21:12:27.308558+00:00,
baseline,baseline,7,10000,f687a600-d4d8-4b98-9363-d87ac1879484,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.8429,2.8429,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2204,4545,3251,2204,2204,256,0,0,2026-07-15T21:12:28.148324+00:00,
baseline,baseline,8,10000,fccf985b-d08c-451e-b71c-4df3097c139a,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.7997,2.7997,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2239,4472,3289,2239,2239,256,0,0,2026-07-15T21:12:28.971457+00:00,
baseline,baseline,9,10000,4bc912ad-612d-40d6-a246-7a99fcf2e829,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.7565,2.7565,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2271,4507,3222,2271,2271,256,0,0,2026-07-15T21:12:29.815967+00:00,
baseline,baseline,10,10000,7a3376b4-5807-426c-bc01-4e27c850cebe,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,False,25.0,25.0,0.02,1.0,0.794328,nominal,0,256,-2.8534,2.8534,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,2283,4435,3282,2283,2283,256,0,0,2026-07-15T21:12:30.657404+00:00,
link_nominal_25_25,link_loss_sweep,1,10000,9c27b3be-018e-4204-93bc-0beae6d7f42a,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2087,256,-2.8795,2.8795,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1829,3500,4671,1829,1829,256,0,0,2026-07-15T21:12:31.391137+00:00,
link_nominal_25_25,link_loss_sweep,2,10000,ba1b11a3-e919-4ca9-acaa-0eab1c3afb6d,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2073,256,-2.9396,2.9396,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1779,3558,4663,1779,1779,256,0,0,2026-07-15T21:12:32.120111+00:00,
link_nominal_25_25,link_loss_sweep,3,10000,46579a33-44fb-4401-968b-1bee32ae2dbb,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2029,256,-2.8085,2.8085,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1678,3585,4737,1678,1678,256,0,0,2026-07-15T21:12:32.857065+00:00,
link_nominal_25_25,link_loss_sweep,4,10000,16c7c1bd-37a8-41e5-ace0-9e2de8b8edd0,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2051,256,-2.7589,2.7589,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1843,3365,4792,1843,1843,256,0,0,2026-07-15T21:12:33.592009+00:00,
link_nominal_25_25,link_loss_sweep,5,10000,02ef23d8-82ae-4081-a419-c6155f9c0481,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2084,256,-2.8349,2.8349,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1713,3539,4748,1713,1713,256,0,0,2026-07-15T21:12:34.330145+00:00,
link_nominal_25_25,link_loss_sweep,6,10000,83cf881b-86f3-4934-ad8b-7adf151eb957,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2057,256,-2.7732,2.7732,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1736,3590,4674,1736,1736,256,0,0,2026-07-15T21:12:35.048529+00:00,
link_nominal_25_25,link_loss_sweep,7,10000,52834078-c40a-4e51-924e-4f13385bbd87,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2153,256,-2.8088,2.8088,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1717,3507,4776,1717,1717,256,0,0,2026-07-15T21:12:35.787034+00:00,
link_nominal_25_25,link_loss_sweep,8,10000,8107bc6d-0371-4fd9-9a81-4827b8f70891,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2099,256,-2.826,2.826,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1756,3510,4734,1756,1756,256,0,0,2026-07-15T21:12:36.518490+00:00,
link_nominal_25_25,link_loss_sweep,9,10000,90434a35-2b1b-44c3-ada2-7377f0f4c868,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2009,256,-2.7668,2.7668,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1724,3539,4737,1724,1724,256,0,0,2026-07-15T21:12:37.257870+00:00,
link_nominal_25_25,link_loss_sweep,10,10000,60f169b5-ac86-42ab-a813-47fc43d89d2b,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,25.0,25.0,0.02,1.0,0.794328,nominal,2018,256,-2.7738,2.7738,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,1756,3568,4676,1756,1756,256,0,0,2026-07-15T21:12:37.989645+00:00,
link_degraded_150_150,link_loss_sweep,1,10000,395dcd3a-af46-467a-9d27-ae15efa33a7e,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,150.0,150.0,0.02,6.0,0.251189,degraded,7504,256,-2.8623,2.8623,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,559,1081,8360,559,559,256,0,0,2026-07-15T21:12:38.474016+00:00,
link_degraded_150_150,link_loss_sweep,2,10000,e523af61-38da-49b6-a817-72353b714e87,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,150.0,150.0,0.02,6.0,0.251189,degraded,7520,256,-2.7247,2.7247,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,561,1096,8343,561,561,256,0,0,2026-07-15T21:12:38.959017+00:00,
link_degraded_150_150,link_loss_sweep,3,10000,d5c4f93c-4db0-41ed-963e-680cb0831b81,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,150.0,150.0,0.02,6.0,0.251189,degraded,7546,256,-2.866,2.866,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,537,1105,8358,537,537,256,0,0,2026-07-15T21:12:39.415107+00:00,
link_degraded_150_150,link_loss_sweep,4,10000,c7af7e21-35e0-4895-9a28-f2643f7c2244,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,150.0,150.0,0.02,6.0,0.251189,degraded,7489,256,-2.9115,2.9115,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,574,1066,8360,574,574,256,0,0,2026-07-15T21:12:39.883821+00:00,
link_degraded_150_150,link_loss_sweep,5,10000,f91a3423-1d0c-4410-a130-0ebde17e6bc8,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,150.0,150.0,0.02,6.0,0.251189,degraded,7475,256,-2.942,2.942,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,544,1060,8396,544,544,256,0,0,2026-07-15T21:12:40.352375+00:00,
link_degraded_150_150,link_loss_sweep,6,10000,05b6dcbc-b864-4bd4-9a7d-b2323d2ae370,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,150.0,150.0,0.02,6.0,0.251189,degraded,7500,256,-2.9124,2.9124,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,548,1086,8366,548,548,256,0,0,2026-07-15T21:12:40.810815+00:00,
link_degraded_150_150,link_loss_sweep,7,10000,d231d246-20d9-47e5-8736-b8f9c4efef15,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,150.0,150.0,0.02,6.0,0.251189,degraded,7495,256,-2.8546,2.8546,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,605,1082,8313,605,605,256,0,0,2026-07-15T21:12:41.274067+00:00,
link_degraded_150_150,link_loss_sweep,8,10000,8feb141e-51cb-413d-a8d4-4d1e6bfbffce,TWO_KEY_BASES_ONE_CHECK_BASIS,False,0.0,bit_flip,False,0.0,randomize,True,150.0,150.0,0.02,6.0,0.251189,degraded,7483,256,-2.6075,2.6075,0.0,secure,generated,Secure session; final key derived from corrected key subset bits,544,1117,8339,544,544,256,0,0,2026-07-15T21:12:41.741636+00:00,
