scenario_name,scenario_group,runs,failed_runs,abs_chsh_mean,abs_chsh_stddev,qber_mean,qber_stddev,raw_key_length_mean,sifted_key_length_mean,final_key_length_mean,total_quantum_loss_db_mean,transmittance_mean,lost_pair_count_mean,secure_count,degraded_count,insecure_count,generated_count,discarded_degraded_count,discarded_count,insufficient_key_material_count,generated_key_rate
baseline,baseline,10,0,2.8291100000000005,0.033190810307807975,0.0,0.0,2235.3,2235.3,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
link_nominal_25_25,link_loss_sweep,10,0,2.8170000000000006,0.056919280076652805,0.0,0.0,1753.1,1753.1,256.0,1.0,0.794328,2066.0,10,0,0,10,0,0,0,1.0
link_degraded_150_150,link_loss_sweep,10,0,2.84326,0.10245449071010349,0.0,0.0,557.0,557.0,256.0,6.0,0.25118900000000005,7502.2,10,0,0,10,0,0,0,1.0
link_critical_200_200,link_loss_sweep,10,0,2.77522,0.10841445988017974,0.0,0.0,353.5,353.5,256.0,8.0,0.15848899999999996,8416.5,10,0,0,10,0,0,0,1.0
link_critical_high_threshold,link_loss_sweep,10,0,2.84272,0.0696464372543365,0.0,0.0,349.5,349.5,0.0,8.0,0.15848899999999996,8410.9,10,0,0,0,0,0,10,0.0
noise_bit_flip_0.00,noise_sweep_bit_flip,10,0,2.8179899999999996,0.025161807477912957,0.0,0.0,2210.8,2210.8,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
noise_bit_flip_0.02,noise_sweep_bit_flip,10,0,2.69982,0.04430873503046551,0.02053,0.0019978043503361934,2231.0,2185.2,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
noise_bit_flip_0.05,noise_sweep_bit_flip,10,0,2.5396599999999996,0.031814748501633995,0.0506,0.004107175293177646,2213.0,2101.0,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
noise_bit_flip_0.10,noise_sweep_bit_flip,10,0,2.28906,0.037582714702964724,0.09646999999999999,0.0066508228396525825,2240.6,2024.4,0.0,1.0,0.794328,0.0,0,10,0,0,10,0,0,0.0
noise_bit_flip_0.20,noise_sweep_bit_flip,10,0,1.6742899999999998,0.06320533469046209,0.19686,0.007276934641576615,2209.9,1774.9,0.0,1.0,0.794328,0.0,0,0,10,0,0,10,0,0.0
noise_bit_flip_0.25,noise_sweep_bit_flip,10,0,1.37263,0.051408690359164406,0.24645999999999998,0.01157220808661856,2226.8,1678.0,0.0,1.0,0.794328,0.0,0,0,10,0,0,10,0,0.0
noise_depolarizing_0.00,noise_sweep_depolarizing,10,0,2.82418,0.06185764661256066,0.0,0.0,2226.4,2226.4,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
noise_depolarizing_0.02,noise_sweep_depolarizing,10,0,2.7894300000000003,0.05635524327375791,0.010490000000000001,0.0019093047018337445,2232.3,2208.9,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
noise_depolarizing_0.05,noise_sweep_depolarizing,10,0,2.6910000000000003,0.04752512785651155,0.024710000000000003,0.0037901773631908633,2206.6,2152.1,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
noise_depolarizing_0.10,noise_sweep_depolarizing,10,0,2.54206,0.0507799216663874,0.049260000000000005,0.005265020839887003,2234.1,2124.1,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
noise_depolarizing_0.20,noise_sweep_depolarizing,10,0,2.27243,0.04692772338631204,0.10249,0.005594133832268704,2204.7,1978.8,0.0,1.0,0.794328,0.0,0,10,0,0,10,0,0,0.0
noise_depolarizing_0.25,noise_sweep_depolarizing,10,0,2.11384,0.04553031224726376,0.12684,0.004392215335745226,2236.3,1952.6,0.0,1.0,0.794328,0.0,0,10,0,0,10,0,0,0.0
eve_randomize_0.00,eve_sweep_randomize,10,0,2.8284100000000003,0.027912898253117463,0.0,0.0,2227.1,2227.1,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
eve_randomize_0.02,eve_sweep_randomize,10,0,2.80622,0.044197405655385075,0.00998,0.0020525323112898586,2209.7,2187.7,256.0,1.0,0.794328,0.0,10,0,0,10,0,0,0,1.0
